name,url,slogan,rate
Sense Marketing,/profile/sense-marketing,A Global Brand Experience Agency, Undisclosed 
Hummingbird Marketing Agency,/profile/hummingbird-marketing-agency,One-stop comprehensive brand services, Undisclosed 
Antarctic Agency,/profile/antarctic-agency,Marketing & Advertising Agency in New York., Undisclosed 
Regan Communications,/profile/regan-communications,RELENTLESS. RESULTS.," $100 - $149 / hr
"
TRUST,/profile/trust,A Communications Collective, Undisclosed 
Big Arrow Group,/profile/big-arrow-group,Global Branding & Advertising Agency," $150 - $199 / hr
"
Cheer Partners,/profile/cheer-partners,DRIVING SUCCESS FROM THE INSIDE OUT, Undisclosed 
International Association of Top Professionals,/profile/international-association-top-professionals,High End International Networking Organization, Undisclosed 
Gravity Media,/profile/gravity-media,Full-service Cross Cultural Communications Agency," $150 - $199 / hr
"
Cone Communications,/profile/cone-communications,Always Making a Difference," $100 - $149 / hr
"
Cardinal Path,/profile/cardinal-path,"To Us, Digital is Everything"," $100 - $149 / hr
"
Marcel Worldwide,/profile/marcel-worldwide,News & thoughts from a creative agency," $100 - $149 / hr
"
RED PR,/profile/red-pr,"Beauty, Fashion & Lifestyle Public Relations Firm", Undisclosed 
Adams Unlimited,/profile/adams-unlimited,Public Relation and Marketing, Undisclosed 
Radegen Sports Management,/profile/radegen-sports-management,Integrated Sports and Entertainment agency., Undisclosed 
DiMassimo Goldstein,/profile/dimassimo-goldstein,NYC-Based Advertising and Brand-Building Agency," $150 - $199 / hr
"
An Abstract Agency,/profile/abstract-agency,WEBSITES THAT FUEL YOUR BUSINESS, Undisclosed 
Smarti Solutions,/profile/smarti-solutions,Marketing & Advertising Agency., Undisclosed 
Abelow PR,/profile/abelow-pr,Influence Where It Counts, Undisclosed 
Wink Public Relations,/profile/wink-public-relations,Full-Service Strategy Firm, Undisclosed 
Cooney Waters,/profile/cooney-waters,A deep dive.," $100 - $149 / hr
"
Proper Villains,/profile/proper-villains,Marketing and Advertising Agency," $100 - $149 / hr
"
Equator,/profile/equator,WE CONNECT WORLDS," $150 - $199 / hr
"
"Gowebbaby, LLC",/profile/gowebbaby,Top Web Talent - On Demand," $150 - $199 / hr
"
the 10 company,/profile/10-company,Marketing and Public Relations Firm in New York, Undisclosed 
"Llyse Terri, Llc",/profile/llyse-terri,"A full service Marketing, Branding and Creative", Undisclosed 
Isobar,/profile/isobar,"We transform businesses, brands and people's lives"," $100 - $149 / hr
"
Subliminal Productions,/profile/subliminal-productions,EXPERIENCE. QUALITY. CREATIVITY," $100 - $149 / hr
"
Neil Miller Consulting,/profile/neil-miller-consulting,Certified Public Accountant in New York, Undisclosed 
Fog & Apple,/profile/fog-apple,Public Relations Firm In New York, Undisclosed 
DisPRuptive,/profile/dispruptive,Groundbreaking PR for radicals," $100 - $149 / hr
"
Vault49,/profile/vault49,Ideas-Led Brand Design Agency with a Difference," $150 - $199 / hr
"
Pereira & O'Dell,/profile/pereira-odell,Advertising agency based in San Francisco," $100 - $149 / hr
"
HarlemCPA,/profile/harlemcpa,Your premier small business CPA firm., Undisclosed 
"PosterGirl Marketing, PR & Media",/profile/postergirl-marketing-pr-media,Marketing & Advertising Services in New York, Undisclosed 
Devito Verdi,/profile/devito-verdi,"Award-winning, Full Service Advertising Agency"," $150 - $199 / hr
"
RKF,/profile/rkf,Transforming the Retail Landscape.," $100 - $149 / hr
"
Infogroup,/profile/infogroup,"Marketing Agency in Papillion, NE"," $100 - $149 / hr
"
31south,/profile/31south,don't be afraid to stare, Undisclosed 
Splash Worldwide,/profile/splash-worldwide,Global activation agency for the connected world," $150 - $199 / hr
"
Reflex New York,/profile/reflex-new-york,Full-service creative agency in New York, Undisclosed 
"Ethe Consulting, LLC",/profile/ethe-consulting,Global Blockchain PR & Marketing Firm, Undisclosed 
Ivy McLemore & Associates,/profile/ivy-mclemore-associates,Digital Marketing & PR Firm Specializing in Crypto," $150 - $199 / hr
"
SEO 5 Consulting,/profile/seo-5-consulting,"Your Partner to Increase Traffic, Rankings & Sales"," $50 - $99 / hr
"
Target Marketing Digital,/profile/target-marketing-digital,Full Service Digital Marketing Agency," $150 - $199 / hr
"
Good2bSocial,/profile/good2bsocial,Generating Business in the Digital Age," $25 - $49 / hr
"
Tomorrow People,/profile/tomorrow-people,Global B2B Marketing Agency," $150 - $199 / hr
"
INVNT,/profile/invnt,Marketing and Advertising Agency New York," $150 - $199 / hr
"
HireInfluence,/profile/hireinfluence,Connecting Brands & Audiences Through Experiences, Undisclosed 
Campus,/profile/campus,College Marketing," $100 - $149 / hr
"
Vab Media,/profile/vab-media,New York Digital Marketing Agency," $25 - $49 / hr
"
Cepac,/profile/cepac,Turnkey Law Firm Marketing & Legal," $50 - $99 / hr
"
Enormous Creative,/profile/enormous-creative,New York Creative Advertising Agency," $50 - $99 / hr
"
Marbaloo Marketing,/profile/marbaloo-marketing,Excellence. Innovation. Edge., Undisclosed 
Stillwater Media Group,/profile/stillwater-media-group,"Where Technology, Integrity and Economy Converge"," $25 - $49 / hr
"
The Relentless Collective,/profile/relentless-collective,Care More.Work Smarter. Execute Flawlessly. Repeat," $150 - $199 / hr
"
360 PR Plus,/profile/360-pr-plus,We are 360PR+. All in.," $100 - $149 / hr
"
R\West,/profile/rwest,Portland Integrated Full-service Marketing Agency," $150 - $199 / hr
 "
Socialike,/profile/socialike,Merging Offline and Online Identities, Undisclosed 
THE AD STORE NYC,/profile/ad-store-nyc,BEST IN CLASS BRANDING STRATEGIES, Undisclosed 
Crayon HQ,/profile/crayon-hq,NYC Digital Marketing and Branding Agency," $150 - $199 / hr
"
Fox Theory,/profile/fox-theory,Dream Big and Prepare for Liftoff," $50 - $99 / hr
"
