name,url,slogan,rate
WIT Strategy,/profile/wit-strategy,Philadelphia Communications Agency," $150 - $199 / hr
"
Cornerstone,/profile/cornerstone,Create. Amplify.," $100 - $149 / hr
"
Agency V,/profile/agency-v,Public Relations and Communications in Stockholm," $100 - $149 / hr
"
Beckerman,/profile/beckerman,Strategy. Message. Impact., Undisclosed 
PKPR,/profile/pkpr,Public relations agency in New York., Undisclosed 
Indra,/profile/indra-0,PR firm in New York., Undisclosed 
MAO Public Relations,/profile/mao-public-relations,PR Firm in New York., Undisclosed 
Black Frame,/profile/black-frame,PR agency in New York., Undisclosed 
BPM-PR Firm,/profile/bpm-pr-firm,BEAUTIFUL PLANNING MARKETING & PR, Undisclosed 
Laura Davidson Public Relations,/profile/laura-davidson-public-relations,Dedication. Innovation. Collaboration., Undisclosed 
ZOÏ Agency,/profile/zoi-agency,A Boutique Public Relations Bureau," $100 - $149 / hr
"
Affect,/profile/affect,Public Relations Firm in New York, Undisclosed 
FTI Consulting Strategic Communications,/profile/fti-consulting-strategic-communications,"Your Source Of Data, Analysis and News", Undisclosed 
GEOFFREY WEILL ASSOCIATES,/profile/geoffrey-weill-associates,PR agency in New York., Undisclosed 
Baltz & Company,/profile/baltz-company,"The greatest stories are found, not created.", Undisclosed 
Cameo,/profile/cameo,PR Firms in New York., Undisclosed 
Pace Public Relations,/profile/pace-public-relations,PR Agency in New York., Undisclosed 
Wunderlich Kaplan Communications,/profile/wunderlich-kaplan-communications,Communications Agency in New York, Undisclosed 
Catherine Miran PR Agency,/profile/catherine-miran-pr-agency,Paris Public Relations & Communications Agency, Undisclosed 
KMR Communications,/profile/kmr-communications,EXPERTLY CRAFTED & PERSONALIZED PR SOLUTION, Undisclosed 
Harrison & Shriftman,/profile/harrison-shriftman,Curious | Creative | Connected, Undisclosed 
DQMPR,/profile/dqmpr,Public Relations & Communications Services, Undisclosed 
Veritas Communications,/profile/veritas-communications,Influencing the Influencers," $100 - $149 / hr
"
Joele Frank,/profile/joele-frank,STRATEGIC COMMUNICATIONS FIRM, Undisclosed 
Berk Communications,/profile/berk-communications,# WATCH US WORK, Undisclosed 
"Bella Public Relations, Inc.",/profile/bella-public-relations,Public Relations and Communications, Undisclosed 
BCW Global,/profile/bcw-global,We Are Pioneers and Innovators, Undisclosed 
R. Courl Hay.,/profile/r-courl-hay,PR Agency in New York., Undisclosed 
Falco Ink.,/profile/falco-ink,PR firms in New York., Undisclosed 
LFB Media Group,/profile/lfb-media-group,PR firms in New York., Undisclosed 
Zazil Media Group,/profile/zazil-media-group,BE HEARD. BE SEEN. Be fearless, Undisclosed 
1-800-PublicRelations (1800pr)​,/profile/1-800-publicrelations-1800pr%E2%80%8B,Award-winning PR Agency, Undisclosed 
Mariposa Communications,/profile/mariposa-communications,Industry Leading Fashion PR & Marketing Agency, Undisclosed 
Diane Terman Public Relations NYC,/profile/diane-terman-public-relations-nyc,Integrating Digital and Traditional PR, Undisclosed 
M18,/profile/m18,PR Company in New York., Undisclosed 
EXLUSIVE PR SOLUTIONS,/profile/exlusive-pr-solutions,Proven Experience.," $150 - $199 / hr
"
HWPR,/profile/hwpr,PR Firms in New York., Undisclosed 
The Brandman Agency,/profile/brandman-agency,A Global Communications Agency, Undisclosed 
Chamberlain Healthcare Public Relations,/profile/chamberlain-healthcare-public-relations,TRANSFORMING SCIENCE INTO MEANINGFUL CONVERSATION, Undisclosed 
"George Arzt Communications, Inc.",/profile/george-arzt-communications,"Public, Community & Government Relations Firm", Undisclosed 
Group Gordon,/profile/group-gordon,Public Relations Firm in NY, Undisclosed 
Kite Hill PR,/profile/kite-hill-pr,Put Your Brand ​in the Headlines, Undisclosed 
We Are Multiply,/profile/we-are-multiply,Social and pr agency at the x of creativity., Undisclosed 
Company Agenda,/profile/company-agenda,Public Relations & Communications, Undisclosed 
Silversalt PR,/profile/silversalt-pr,Public Relations Services in New York, Undisclosed 
KARV Communications,/profile/karv-communications,STRATEGIC COMMUNICATION FOR AN UNPREDICTABLE WORLD, Undisclosed 
Nectar Communications,/profile/nectar-communications,We believe that great partnerships breed success, Undisclosed 
Spotlight Media Relations,/profile/spotlight-media-relations,A Boutique Public Relations Agency, Undisclosed 
BWK,/profile/bwk,Build the future., Undisclosed 
Valvespring,/profile/valvespring,Leapfrog the obvious, Undisclosed 
Alison Brod Marketing + Communications,/profile/alison-brod-marketing-communications,BRAND BUILDING FOR THE THINGS AND PEOPLE WE LOVE, Undisclosed 
The Gulko Group,/profile/gulko-group,"""Delivering The Unexpected""​", Undisclosed 
Stowe Company,/profile/stowe-company,Your Search Just Got Easier!, Undisclosed 
WA Public Relations Company,/profile/wa-public-relations-company,Public Relations Firm in Flushing, Undisclosed 
Ruder Finn Inc.,/profile/ruder-finn,Transformation Is Our Business, Undisclosed 
KCSA Strategic Communications,/profile/kcsa-strategic-communications,Fully-Integrated Communications Agency, Undisclosed 
Hotwire,/profile/hotwire,Global reach. Local flavor.," $100 - $149 / hr
"
SHIFT Communications,/profile/shift-communications,"We help you find, build, and convert new audiences", Undisclosed 
The Engine Group,/profile/engine-group,TRANSFORMATION THROUGH COLLABORATION," $150 - $199 / hr
"
FCB Global,/profile/fcb-global,Chicago Digital Marketing Agency," $100 - $149 / hr
"
IPG,/profile/ipg-0,advertising and marketing company in New York., Undisclosed 
